order_items_id,product_id,order_id,quantity,unit_price
60,17723,7436425,5,280.1
65,1649,7210330,3,333.65
342,12141,2023385,5,53.93
600,6374,6933857,4,188.91
1059,16745,880933,1,105.84
1597,16540,6288027,3,441.24
2210,4842,4524045,4,369.5
3406,18204,3925995,3,97.49
3463,13703,4176807,1,248.63
3794,6783,3234581,2,6.34
3824,18451,402061,1,451.29
4129,8520,4556783,1,174.02
4220,3126,2857714,4,360.62
5004,14052,2161061,5,91.89
5052,2949,7882707,2,347.97
5466,1966,7463185,1,349.85
5545,2228,2364496,5,121.98
6187,8381,278112,5,280.51
6891,6198,3103341,1,149.87
7305,11044,966468,2,170.11
7360,12807,2472867,1,343.12
7402,4011,5274796,5,193.44
7450,11146,4849496,3,456.29
7991,16729,7463704,2,25.26
8100,6898,6738427,4,457.75
8693,254,5790259,3,455.13
8732,13961,6940734,1,47.84
9554,4119,6183597,4,18.44
9991,16707,3943480,2,491.31
10296,1095,1755748,2,169.34
10559,2628,4106629,1,329.06
11058,16069,1209710,1,109.66
11116,3655,6008624,3,263.79
11639,17138,4444539,4,391.09
11868,1759,114684,2,66.38
12102,11149,6601380,5,131.97
12376,10436,6459698,4,399.17
13484,12959,1708773,2,479.15
13546,16032,5245023,4,122.79
13671,12329,957728,2,330.21
13681,14213,5610100,1,42.86
14396,8862,3091836,3,68.89
14911,14389,860265,4,49.94
14947,378,2453254,3,108.23
15186,6979,522434,3,348.8
15262,6950,5886751,1,212.85
15556,19279,1831467,5,56.15
15644,5571,3730049,5,278.95
16253,9329,4884124,4,426.3
16769,18816,1114049,3,339.13
17053,7436,1485694,1,235.65
17056,8988,1570660,5,247.66
18024,6907,7050773,5,214.46
18080,6089,2008135,5,150.56
18271,15887,1711400,2,471.78
18280,407,6952556,1,332.5
18909,11904,2547820,5,453.37
19195,11873,7442184,2,382.64
19780,404,1281996,1,128.08
19803,18961,2713491,5,325.5
20563,15427,1524391,2,251.43
20961,13895,7970449,5,395.36
21486,2006,7849029,1,326.68
21515,11135,6774229,1,226.96
21672,11682,3626495,4,451.94
22151,8476,5916328,5,264.41
22505,9883,4201276,2,173.25
22660,15306,3669798,2,438.6
23260,15509,4912045,4,156.7
23473,11205,7733725,4,122.68
23871,14187,7805399,2,355.69
24049,3840,6640821,1,414.83
24326,11248,7648293,1,189.91
25065,19819,3497740,3,148.34
25126,17044,6999958,5,118.86
25495,7517,6945545,5,418.76
25714,19485,3304255,1,202.74
26240,18244,733065,2,288.71
26279,12583,447423,1,208.71
26332,19847,6052400,3,186.28
26563,15383,5643663,5,153.13
26739,14734,4093427,4,234.58
26921,17026,1255285,1,16.97
27381,14199,5461678,4,440.63
28165,8253,4962743,4,197.19
28528,6789,6566888,3,106.92
28671,8930,2897364,4,341.36
29029,10075,191154,4,156.09
29471,11721,2118833,4,434.06
29811,15349,1528208,3,492.96
29890,4785,6852316,5,221.34
30164,18521,3600847,2,333.5
30789,17128,4704364,1,51.49
30853,8117,4513333,5,471.13
30876,13903,5256915,5,363.02
32151,11957,6031199,1,301.16
32709,690,7103485,4,332.5
32794,12413,166058,3,31.71
33433,19539,4365043,3,212.95
33513,4717,961309,5,307.34
33550,2981,3084548,4,162.74
33838,8294,6373038,1,389.97
35388,3927,5691800,4,93.96
35421,5924,3759934,4,300.91
35870,872,3181269,1,412.46
36033,9433,4069496,2,230.17
36710,2470,1820769,5,124.53
37450,8364,5695557,1,328.99
37524,19726,5755656,3,381.53
37632,7869,5222122,5,89.13
38108,7696,1764238,5,384.74
39107,3509,2986745,4,365.72
39471,3673,928242,5,144.35
39666,8859,3564686,5,496.74
40112,19702,7301918,2,214.62
40577,17926,4447394,1,471.02
40603,16098,3322720,1,241.18
41562,19401,6495481,5,123.48
41975,8737,3912096,4,203.96
42443,9062,452072,4,439.58
42643,7182,5944129,4,452.15
42719,2246,192064,5,348.12
43155,11615,742223,2,423.79
43389,696,49145,1,261.52
43825,17548,7517283,1,375.63
44545,13166,6762389,2,161.46
45793,19364,758764,4,331.88
46356,3234,3617980,2,179.11
46389,4617,840627,2,491.18
46415,6080,4651518,1,363.79
46871,19399,5593063,5,334.39
47709,8281,1489198,1,172.18
48281,16282,4531113,2,361.07
50344,14115,7029736,3,334.31
50838,8147,1076534,4,287.14
52063,392,7159522,1,186.19
52265,14950,1429590,5,472.12
52268,18264,3739130,2,415.61
53130,8741,1261292,5,248.18
53180,13613,783117,2,33.63
53585,11914,6178974,5,163.28
53678,17013,4369571,4,241.6
53771,7391,5866966,3,131.36
53876,4730,7796309,1,192.01
54116,11321,6401279,4,163.66
54336,16703,1081379,2,164.8
54643,5442,6484683,5,463.71
54683,1038,233711,5,44.45
54767,7730,317460,2,339.95
55594,10966,1249307,4,476.84
55642,7904,4827345,5,122.64
55896,1815,7739788,2,158.07
55908,11811,1393203,1,392.2
56197,18745,6424597,2,498.51
56551,4815,4789928,1,359.56
56885,11060,4746846,4,311.13
57048,1979,1497877,1,321.3
57415,15098,4854210,2,379.95
57799,15158,7824356,3,465.4
57800,9038,2047068,3,172.98
57964,13220,5486419,2,253.13
58539,2250,955686,1,140.02
58637,5319,2272223,5,137.38
58683,2114,4781122,2,199.71
59026,10988,6242795,4,254.34
59102,3039,2735344,2,380.72
59331,10930,3737471,1,414.96
59790,5126,879003,5,321.72
60421,359,3381992,1,486.28
60661,8009,4270362,2,267.89
60937,13401,7030003,2,423.33
62294,19835,3858124,2,323.12
63082,729,4371411,1,177.08
63296,12219,2781324,4,359.49
64414,19566,6302828,5,327.88
65156,16136,4816156,5,322.49
65255,78,7328639,1,322.69
65358,292,6756803,3,170.06
65976,6623,1740068,3,480.05
66044,14916,3004160,1,306.49
66182,18110,3674050,1,318.58
66438,8891,3720756,1,379.72
66611,12033,4414339,5,425.14
67017,235,5229762,4,352.06
67067,9935,6980479,1,427.03
67390,3422,6036448,4,287.73
67492,227,1514842,1,113.71
67865,3637,6325877,3,377.07
68181,15537,4188285,3,348.28
68320,11902,2567283,1,304.33
68952,6660,7087723,2,243.27
69865,16097,848405,5,366.2
70383,7459,4505665,5,194.87
70466,2008,5457903,4,316.53
70506,947,1627818,4,163.87
70568,1957,3439329,5,394.68
71380,19557,5229163,3,275.03
71518,3656,1539543,3,392.07
71595,6193,1958951,2,152.76
71668,11230,4719027,5,297.39
72178,14688,5022354,5,477.23
72189,4633,4020664,5,193.86
72398,3854,6199566,1,264.82
72591,8494,3616038,2,56.23
72728,2842,4880067,4,350.89
73126,13339,1992613,5,269.03
73536,4467,1392829,1,444.47
73841,7968,3294988,5,61.62
75110,2676,4692338,3,9.7
75527,8720,5725526,4,190.63
75610,17119,547415,1,454.45
75960,9115,4327438,5,134.16
75991,7448,603357,4,237.66
76520,2087,6873427,2,428.16
76772,18388,1097752,3,191.93
76796,17978,914601,2,377.94
77637,8101,5010310,5,252.82
77669,1866,4723561,3,13.77
77808,4297,6295439,2,136.58
78336,1755,7703364,1,401.67
78555,18749,2658126,5,240.84
79023,10095,6196254,2,467.36
79425,5431,3792254,3,209.18
79651,497,5251292,4,107.73
79911,13808,5809374,1,389.05
80588,11088,3120880,1,295.49
80796,15772,7828396,5,253.22
80819,15499,4195207,2,446.34
80868,13496,2412785,1,343.4
81379,1912,2888004,5,263.47
81429,1470,2307507,4,56.88
82064,14544,2588935,2,125.01
82675,8638,5360619,1,288.67
82752,16260,4672194,4,42.5
83329,439,1829096,3,94.33
83407,8793,2192895,2,325.31
83441,19208,2997155,5,143.92
83679,5359,6161450,4,268.58
84689,2740,5386501,2,149.81
84771,9009,4161487,1,40.37
84798,17559,2709228,5,289.5
84945,2770,2160545,5,169.56
85992,18484,495844,1,122.1
86103,19702,6525614,4,214.62
86522,7185,6578665,5,257.21
87089,9680,7525349,1,162.83
87444,14249,2707305,5,271.16
87458,7788,3260280,2,106.39
87759,4359,7007859,3,233.84
87836,634,5513897,4,341.46
87984,15519,409804,2,57.82
89512,524,2946746,5,369.85
89780,9305,6581581,5,227.93
90185,1058,4406191,2,28.84
90592,14612,6258591,4,170.53
90930,19385,6587019,1,225.64
91281,11215,112191,1,236.06
91341,639,2177098,5,403.24
91554,11252,5935774,5,5.39
92592,18948,7691490,5,293.24
92944,17901,1680591,3,31.57
93550,3722,5155644,5,392.44
94235,16582,4536117,4,176.58
94785,11717,1418893,4,16.56
94933,2807,6792461,1,46.66
96288,12504,1271172,4,231.65
96291,14316,2015973,1,59.38
96370,2747,1653445,3,110.99
96374,19290,1963408,1,165.96
96683,15541,1141652,2,60.32
97182,14471,327892,4,381.31
97320,11507,1368601,4,481.8
97771,13593,7106723,3,126.45
98189,1327,2246277,1,490.28
98242,9334,1381499,1,236.4
98518,8642,7631553,1,446.31
98525,10340,174729,3,130.09
98707,11918,2185241,4,494.58
99560,16122,4599490,5,234.81
99724,17993,5962645,1,398.31
100004,3445,3651047,4,82.51
100192,11779,1526025,5,313.86
100871,13344,3621229,3,283.86
101458,16883,5858972,5,398.07
102248,4034,4347116,4,173.02
102434,17722,6748016,5,35.6
102818,18082,411841,1,221.3
103027,13646,1695096,3,383.46
103103,18665,3431613,2,451.69
103112,12560,7944412,3,324.68
103228,19811,2011437,5,436.02
103425,14219,2824181,2,362.38
103882,800,6448088,1,99.78
103886,4112,3825260,3,13.11
104212,8937,713071,4,397.57
104214,12383,1038359,2,115.92
104577,10717,3241834,5,140.41
104725,2310,7102921,3,269.06
104806,5481,6468561,2,421.32
105674,15315,1510599,5,26.08
106339,10128,4426379,4,234.83
106731,2845,5751992,1,173.69
107384,4814,5057895,4,29.05
108057,13017,7479779,3,279.45
108980,16800,4524045,1,425.66
109135,9727,4342050,2,334.65
109195,1841,6993919,1,486.86
109202,344,7362122,2,22.87
109546,1901,7874613,2,122.37
109567,14679,7831012,2,404.68
109934,3902,5415227,5,178.82
110022,9708,7489921,1,137.08
110149,3338,2688578,1,205.72
110446,15676,7387516,1,12.93
110779,3401,156431,5,216.32
110802,4981,1108856,3,480.92
111109,16813,4407055,2,371.84
111201,2371,2572532,1,216.1
111594,4229,950739,2,434.24
111811,17205,1563742,1,398.96
112030,7003,6759026,2,359.82
112124,5454,3673338,1,394.48
112561,16587,4568780,2,482.98
112833,12220,3860242,1,280.37
113604,9594,4076070,3,59.87
113981,1692,37737,2,374.96
114052,4390,4024013,3,93.05
114158,14115,100177,2,334.31
114273,10253,1440796,4,481.02
114367,12460,5499797,3,410.87
115249,11030,925202,5,193.95
115273,5715,7030003,1,185.49
115365,3481,8140,4,12.83
115411,8763,1459023,1,125.69
115454,9093,3213040,4,265.85
115559,18751,6908739,3,482.78
117460,4717,1441117,3,307.34
118581,3098,1817574,1,287.38
118712,3841,2256950,4,452.45
118809,3524,7366077,2,319.43
119261,2497,3649964,3,410.43
119401,15255,6800051,4,404.91
119414,18714,780359,5,197.0
119654,13038,1524903,3,415.46
120227,18150,5193191,4,169.8
120575,3317,7831128,2,62.19
120635,19462,5818956,5,292.02
122285,14272,2334555,1,256.52
122384,9948,4667080,5,157.36
122524,9118,969939,3,139.25
123003,11086,4429422,1,242.63
123117,13947,949509,4,59.92
123894,19364,6985986,3,331.88
124546,6556,2989185,3,83.59
124700,18417,7910987,5,375.73
125248,5863,5262917,2,136.31
125283,953,5298914,5,38.94
125682,5582,2262276,4,285.54
125815,6016,6305698,1,275.56
126128,19057,1953302,5,262.36
126149,19536,1924458,3,383.15
126467,18364,5026868,5,107.98
126812,4410,2446466,1,378.38
128112,16315,5027874,4,138.62
128380,5422,4700647,4,265.3
129362,9463,2002997,4,52.18
129363,18505,7868970,3,292.0
130320,6872,1235614,4,265.52
130426,19231,3191967,3,315.06
130878,16576,1155791,3,226.1
131005,8686,1888927,2,298.2
131051,12557,134428,2,390.93
131056,2899,4370855,4,247.49
131284,12269,6767751,1,239.91
131908,8866,3845591,5,295.36
132031,5529,3715652,4,199.17
133835,15268,2277657,5,358.7
133948,17275,3521057,4,185.7
134609,1499,978036,4,204.19
134789,10037,7400598,1,428.86
135149,15259,7320165,5,108.68
135152,9739,4512790,1,210.82
135193,10683,3359305,3,439.43
136146,3830,5334577,2,460.97
136425,18334,6907344,5,305.22
136608,8774,6133033,4,139.85
137524,16932,7802092,2,389.44
137892,13835,4400749,2,271.44
138561,12683,4519637,2,68.85
138570,11176,5308785,2,159.4
139315,17016,6628945,5,5.9
139338,4435,2899700,4,45.32
139666,2514,3004744,5,107.61
140200,10105,3165228,3,94.54
140284,16973,7528113,1,288.53
140306,4442,4795563,5,414.36
140415,19304,1910702,1,320.78
140619,2615,7141140,2,419.25
140716,13695,5516886,3,295.67
141900,9073,5687286,1,358.7
